
WAIT,30,,
POP,60,30,50,NORMAL
POP,-60,30,50,NORMAL
POP,60,-30,50,NORMAL
POP,-60,-30,50,NORMAL
POP,0,0,50,TO_PLAYER
DEFEAT,
WAIT,30,,
POP,0,30,50,NORMAL
POP,-60,0,50,NORMAL
POP,60,-0,50,NORMAL
POP,0,-30,50,NORMAL
WAIT,10,,
POP,40,0,50,TO_PLAYER
POP,-40,0,50,TO_PLAYER
WAIT,30,,
POP,0,20,50,HOMING
POP,0,-20,50,HOMING
DEFEAT,
POP,0,20,50,TO_PLAYER
POP,0,-20,50,TO_PLAYER
POP,50,0,50,NORMAL
POP,-50,0,50,NORMAL
WAIT,30,,
POP,0,0,50,HOMING
POP,-30,0,50,HOMING
POP,30,0,50,HOMING
DEFEAT,
POP,0,15,50,TO_PLAYER
POP,20,-15,50,TO_PLAYER
POP,-20,-15,50,TO_PLAYER
WAIT,30,,
POP,0,-15,50,NORMAL
POP,40,0,70,NORMAL
POP,-40,0,70,NORMAL
WAIT,30,,
POP,60,30,50,HOMING
POP,-60,30,50,HOMING
POP,60,-30,50,HOMING
POP,-60,-30,50,HOMING
DEFEAT,
CLEAR,
